mapres10,papres10,paeduc,maeduc,educ,degree,born,reg16,incom16,father_factor,mother_factor,high_school
64,39,9,14,12,high school,yes,new england,below average,Lower than Median,Above and Equal to Median,0
64,72,16,16,16,bachelor's,yes,pacific,far above average,Above and Equal to Median,Above and Equal to Median,1
69,35,12,14,14,high school,no,new england,average,Lower than Median,Above and Equal to Median,0
36,31,12,12,17,bachelor's,yes,new england,average,Lower than Median,Lower than Median,1
25,27,14,14,12,high school,no,middle atlantic,average,Lower than Median,Lower than Median,0
59,44,16,16,19,graduate,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,1
32,62,14,12,13,high school,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,0
42,39,12,14,16,bachelor's,no,middle atlantic,above average,Lower than Median,Above and Equal to Median,1
31,35,13,11,11,less than high school,yes,middle atlantic,below average,Lower than Median,Lower than Median,0
38,35,12,12,15,high school,no,middle atlantic,average,Lower than Median,Lower than Median,0
31,31,6,0,16,graduate,yes,middle atlantic,far above average,Lower than Median,Lower than Median,1
51,65,18,16,14,high school,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,0
31,36,12,12,18,graduate,yes,middle atlantic,average,Lower than Median,Lower than Median,1
64,60,18,16,14,high school,yes,middle atlantic,average,Above and Equal to Median,Above and Equal to Median,0
21,36,6,12,12,high school,no,middle atlantic,far below average,Lower than Median,Lower than Median,0
31,36,12,12,14,associate/junior college,yes,middle atlantic,average,Lower than Median,Lower than Median,1
25,73,16,14,15,associate/junior college,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,1
57,53,16,16,17,graduate,no,pacific,below average,Above and Equal to Median,Above and Equal to Median,1
47,38,12,16,16,bachelor's,yes,south atlantic,average,Lower than Median,Above and Equal to Median,1
69,74,16,12,16,bachelor's,yes,south atlantic,average,Above and Equal to Median,Above and Equal to Median,1
29,39,14,12,16,bachelor's,yes,middle atlantic,above average,Lower than Median,Lower than Median,1
